Image,Expected,Predicted
am50_5p0_1771cQ2R1.png,109.0,140
am50_5p0_1771cQ2R2.png,109.0,129
am50_5p0_1771cQ2R3.png,109.0,102
am50_5p0_1771cQ2R4.png,109.0,140
am50_2p5_1816cQ3R1.png,109.0,83
am50_2p5_1816cQ3R2.png,109.0,184
am50_2p5_1816cQ3R3.png,109.0,130
am50_2p5_1816cQ3R4.png,109.0,131
am50_5p0_1792cQ2R1.png,109.0,92
am50_5p0_1792cQ2R2.png,109.0,104
am50_5p0_1792cQ2R3.png,109.0,91
am50_5p0_1792cQ2R4.png,109.0,124
am50_5p0_1796cQ4R1.png,109.0,128
am50_5p0_1796cQ4R2.png,109.0,141
am50_5p0_1796cQ4R3.png,109.0,109
am50_5p0_1796cQ4R4.png,109.0,113
am50_2p5_1825cQ4R1.png,109.0,117
am50_2p5_1825cQ4R2.png,109.0,102
am50_2p5_1825cQ4R3.png,109.0,86
am50_2p5_1825cQ4R4.png,109.0,137
am50_2p5_1824cQ1R1.png,109.0,102
am50_2p5_1824cQ1R2.png,109.0,103
am50_2p5_1824cQ1R3.png,109.0,82
am50_2p5_1824cQ1R4.png,109.0,132
am50_5p0_1775cQ1R1.png,109.0,109
am50_5p0_1775cQ1R2.png,109.0,112
am50_5p0_1775cQ1R3.png,109.0,93
am50_5p0_1775cQ1R4.png,109.0,113
am50_5p0_1775cQ2R1.png,109.0,132
am50_5p0_1775cQ2R2.png,109.0,87
am50_5p0_1775cQ2R3.png,109.0,119
am50_5p0_1775cQ2R4.png,109.0,94
am50_2p5_1817cQ1R1.png,109.0,181
am50_2p5_1817cQ1R2.png,109.0,140
am50_2p5_1817cQ1R3.png,109.0,99
am50_2p5_1817cQ1R4.png,109.0,96
am50_5p0_1793cQ1R1.png,109.0,77
am50_5p0_1793cQ1R2.png,109.0,107
am50_5p0_1793cQ1R3.png,109.0,96
am50_5p0_1793cQ1R4.png,109.0,105
am50_5p0_1793cQ2R1.png,109.0,102
am50_5p0_1793cQ2R2.png,109.0,121
am50_5p0_1793cQ2R3.png,109.0,138
am50_5p0_1793cQ2R4.png,109.0,82
am50_2p5_1806cQ2R1.png,109.0,150
am50_2p5_1806cQ2R2.png,109.0,119
am50_2p5_1806cQ2R3.png,109.0,122
am50_2p5_1806cQ2R4.png,109.0,151
am50_2p5_1818cQ1R1.png,109.0,73
am50_2p5_1818cQ1R2.png,109.0,80
am50_2p5_1818cQ1R3.png,109.0,95
am50_2p5_1818cQ1R4.png,109.0,80
am50_5p0_1782cQ3R1.png,109.0,123
am50_5p0_1782cQ3R2.png,109.0,98
am50_5p0_1782cQ3R3.png,109.0,119
am50_5p0_1782cQ3R4.png,109.0,87
am50_2p5_1810cQ3R1.png,109.0,92
am50_2p5_1810cQ3R2.png,109.0,109
am50_2p5_1810cQ3R3.png,109.0,61
am50_2p5_1810cQ3R4.png,109.0,84
am50_2p5_1830cQ1R1.png,109.0,131
am50_2p5_1830cQ1R2.png,109.0,133
am50_2p5_1830cQ1R3.png,109.0,142
am50_2p5_1830cQ1R4.png,109.0,178
am50_5p0_1791cQ4R1.png,109.0,100
am50_5p0_1791cQ4R2.png,109.0,86
am50_5p0_1791cQ4R3.png,109.0,112
am50_5p0_1791cQ4R4.png,109.0,145
am50_2p5_1823cQ1R1.png,109.0,124
am50_2p5_1823cQ1R2.png,109.0,122
am50_2p5_1823cQ1R3.png,109.0,114
am50_2p5_1823cQ1R4.png,109.0,134
am50_2p5_1823cQ3R1.png,109.0,118
am50_2p5_1823cQ3R2.png,109.0,151
am50_2p5_1823cQ3R3.png,109.0,122
am50_2p5_1823cQ3R4.png,109.0,91
am50_2p5_1805cQ3R1.png,109.0,146
am50_2p5_1805cQ3R2.png,109.0,83
am50_2p5_1805cQ3R3.png,109.0,111
am50_2p5_1805cQ3R4.png,109.0,117
am50_5p0_1795cQ3R1.png,109.0,118
am50_5p0_1795cQ3R2.png,109.0,117
am50_5p0_1795cQ3R3.png,109.0,112
am50_5p0_1795cQ3R4.png,109.0,73
am50_5p0_1780cQ3R1.png,109.0,113
am50_5p0_1780cQ3R2.png,109.0,111
am50_5p0_1780cQ3R3.png,109.0,73
am50_5p0_1780cQ3R4.png,109.0,136
am50_5p0_1784cQ2R1.png,109.0,103
am50_5p0_1784cQ2R2.png,109.0,129
am50_5p0_1784cQ2R3.png,109.0,112
am50_5p0_1784cQ2R4.png,109.0,127
am50_5p0_1790cQ4R1.png,109.0,139
am50_5p0_1790cQ4R2.png,109.0,114
am50_5p0_1790cQ4R3.png,109.0,112
am50_5p0_1790cQ4R4.png,109.0,122
am50_2p5_1819cQ4R1.png,109.0,104
