Image,Expected,Predicted,Run No.,Source
am50_2p5_1820cQ2R1.png,109,94,0,Magnesium Dataset
am50_2p5_1820cQ2R2.png,109,99,0,Magnesium Dataset
am50_2p5_1820cQ2R3.png,109,104,0,Magnesium Dataset
am50_2p5_1820cQ2R4.png,109,103,0,Magnesium Dataset
am50_2p5_1816cQ1R1.png,109,96,0,Magnesium Dataset
am50_2p5_1816cQ1R2.png,109,103,0,Magnesium Dataset
am50_2p5_1816cQ1R3.png,109,110,0,Magnesium Dataset
am50_2p5_1816cQ1R4.png,109,93,0,Magnesium Dataset
am50_2p5_1804cQ1R1.png,109,112,0,Magnesium Dataset
am50_2p5_1804cQ1R2.png,109,113,0,Magnesium Dataset
am50_2p5_1804cQ1R3.png,109,106,0,Magnesium Dataset
am50_2p5_1804cQ1R4.png,109,112,0,Magnesium Dataset
am50_2p5_1801cQ3R1.png,109,90,0,Magnesium Dataset
am50_2p5_1801cQ3R2.png,109,100,0,Magnesium Dataset
am50_2p5_1801cQ3R3.png,109,99,0,Magnesium Dataset
am50_2p5_1801cQ3R4.png,109,98,0,Magnesium Dataset
am50_2p5_1822cQ4R1.png,109,113,0,Magnesium Dataset
am50_2p5_1822cQ4R2.png,109,105,0,Magnesium Dataset
am50_2p5_1822cQ4R3.png,109,99,0,Magnesium Dataset
am50_2p5_1822cQ4R4.png,109,94,0,Magnesium Dataset
am50_5p0_1800cQ1R1.png,109,110,0,Magnesium Dataset
am50_5p0_1800cQ1R2.png,109,92,0,Magnesium Dataset
am50_5p0_1800cQ1R3.png,109,110,0,Magnesium Dataset
am50_5p0_1800cQ1R4.png,109,100,0,Magnesium Dataset
am50_5p0_1800cQ3R1.png,109,105,0,Magnesium Dataset
am50_5p0_1800cQ3R2.png,109,107,0,Magnesium Dataset
am50_5p0_1800cQ3R3.png,109,109,0,Magnesium Dataset
am50_5p0_1800cQ3R4.png,109,100,0,Magnesium Dataset
am50_5p0_1782cQ4R1.png,109,101,0,Magnesium Dataset
am50_5p0_1782cQ4R2.png,109,97,0,Magnesium Dataset
am50_5p0_1782cQ4R3.png,109,97,0,Magnesium Dataset
am50_5p0_1782cQ4R4.png,109,99,0,Magnesium Dataset
am50_5p0_1786cQ4R1.png,109,112,0,Magnesium Dataset
am50_5p0_1786cQ4R2.png,109,105,0,Magnesium Dataset
am50_5p0_1786cQ4R3.png,109,108,0,Magnesium Dataset
am50_5p0_1786cQ4R4.png,109,102,0,Magnesium Dataset
am50_5p0_1773cQ1R1.png,109,113,0,Magnesium Dataset
am50_5p0_1773cQ1R2.png,109,208,0,Magnesium Dataset
am50_5p0_1773cQ1R3.png,109,116,0,Magnesium Dataset
am50_5p0_1773cQ1R4.png,109,153,0,Magnesium Dataset
am50_2p5_1803cQ1R1.png,109,102,0,Magnesium Dataset
am50_2p5_1803cQ1R2.png,109,97,0,Magnesium Dataset
am50_2p5_1803cQ1R3.png,109,107,0,Magnesium Dataset
am50_2p5_1803cQ1R4.png,109,104,0,Magnesium Dataset
am50_5p0_1779cQ2R1.png,109,99,0,Magnesium Dataset
am50_5p0_1779cQ2R2.png,109,112,0,Magnesium Dataset
am50_5p0_1779cQ2R3.png,109,108,0,Magnesium Dataset
am50_5p0_1779cQ2R4.png,109,99,0,Magnesium Dataset
am50_5p0_1784cQ4R1.png,109,100,0,Magnesium Dataset
am50_5p0_1784cQ4R2.png,109,101,0,Magnesium Dataset
am50_5p0_1784cQ4R3.png,109,93,0,Magnesium Dataset
am50_5p0_1784cQ4R4.png,109,98,0,Magnesium Dataset
am50_5p0_1777cQ3R1.png,109,99,0,Magnesium Dataset
am50_5p0_1777cQ3R2.png,109,102,0,Magnesium Dataset
am50_5p0_1777cQ3R3.png,109,108,0,Magnesium Dataset
am50_5p0_1777cQ3R4.png,109,112,0,Magnesium Dataset
am50_5p0_1788cQ4R1.png,109,90,0,Magnesium Dataset
am50_5p0_1788cQ4R2.png,109,106,0,Magnesium Dataset
am50_5p0_1788cQ4R3.png,109,106,0,Magnesium Dataset
am50_5p0_1788cQ4R4.png,109,91,0,Magnesium Dataset
am50_2p5_1819cQ2R1.png,109,122,0,Magnesium Dataset
am50_2p5_1819cQ2R2.png,109,107,0,Magnesium Dataset
am50_2p5_1819cQ2R3.png,109,104,0,Magnesium Dataset
am50_2p5_1819cQ2R4.png,109,99,0,Magnesium Dataset
am50_5p0_1797cQ4R1.png,109,98,0,Magnesium Dataset
am50_5p0_1797cQ4R2.png,109,86,0,Magnesium Dataset
am50_5p0_1797cQ4R3.png,109,100,0,Magnesium Dataset
am50_5p0_1797cQ4R4.png,109,97,0,Magnesium Dataset
am50_2p5_1814cQ1R1.png,109,96,0,Magnesium Dataset
am50_2p5_1814cQ1R2.png,109,98,0,Magnesium Dataset
am50_2p5_1814cQ1R3.png,109,103,0,Magnesium Dataset
am50_2p5_1814cQ1R4.png,109,107,0,Magnesium Dataset
am50_2p5_1826cQ1R1.png,109,99,0,Magnesium Dataset
am50_2p5_1826cQ1R2.png,109,102,0,Magnesium Dataset
am50_2p5_1826cQ1R3.png,109,110,0,Magnesium Dataset
am50_2p5_1826cQ1R4.png,109,106,0,Magnesium Dataset
am50_5p0_1794cQ2R1.png,109,118,0,Magnesium Dataset
am50_5p0_1794cQ2R2.png,109,116,0,Magnesium Dataset
am50_5p0_1794cQ2R3.png,109,119,0,Magnesium Dataset
am50_5p0_1794cQ2R4.png,109,103,0,Magnesium Dataset
am50_5p0_1794cQ4R1.png,109,105,0,Magnesium Dataset
am50_5p0_1794cQ4R2.png,109,101,0,Magnesium Dataset
am50_5p0_1794cQ4R3.png,109,113,0,Magnesium Dataset
am50_5p0_1794cQ4R4.png,109,106,0,Magnesium Dataset
am50_5p0_1781cQ4R1.png,109,99,0,Magnesium Dataset
am50_5p0_1781cQ4R2.png,109,90,0,Magnesium Dataset
am50_5p0_1781cQ4R3.png,109,89,0,Magnesium Dataset
am50_5p0_1781cQ4R4.png,109,87,0,Magnesium Dataset
am50_2p5_1813cQ1R1.png,109,101,0,Magnesium Dataset
am50_2p5_1813cQ1R2.png,109,100,0,Magnesium Dataset
am50_2p5_1813cQ1R3.png,109,107,0,Magnesium Dataset
am50_2p5_1813cQ1R4.png,109,106,0,Magnesium Dataset
am50_5p0_1783cQ3R1.png,109,104,0,Magnesium Dataset
am50_5p0_1783cQ3R2.png,109,113,0,Magnesium Dataset
am50_5p0_1783cQ3R3.png,109,110,0,Magnesium Dataset
am50_5p0_1783cQ3R4.png,109,111,0,Magnesium Dataset
am50_2p5_1828cQ1R1.png,109,111,0,Magnesium Dataset
am50_2p5_1828cQ1R2.png,109,110,0,Magnesium Dataset
am50_2p5_1828cQ1R3.png,109,111,0,Magnesium Dataset
am50_2p5_1828cQ1R4.png,109,107,0,Magnesium Dataset
am40_2p5_1763cQ3R1.png,107,114,0,Magnesium Dataset
am40_2p5_1763cQ3R2.png,107,112,0,Magnesium Dataset
am40_2p5_1763cQ3R3.png,107,111,0,Magnesium Dataset
am40_2p5_1763cQ3R4.png,107,122,0,Magnesium Dataset
am40_5p0_1719cQ1R1.png,107,113,0,Magnesium Dataset
am40_5p0_1719cQ1R2.png,107,110,0,Magnesium Dataset
am40_5p0_1719cQ1R3.png,107,114,0,Magnesium Dataset
am40_5p0_1719cQ1R4.png,107,110,0,Magnesium Dataset
am40_2p5_1751cQ1R1.png,107,106,0,Magnesium Dataset
am40_2p5_1751cQ1R2.png,107,95,0,Magnesium Dataset
am40_2p5_1751cQ1R3.png,107,88,0,Magnesium Dataset
am40_2p5_1751cQ1R4.png,107,101,0,Magnesium Dataset
am40_2p5_1768cQ1R1.png,107,102,0,Magnesium Dataset
am40_2p5_1768cQ1R2.png,107,90,0,Magnesium Dataset
am40_2p5_1768cQ1R3.png,107,105,0,Magnesium Dataset
am40_2p5_1768cQ1R4.png,107,102,0,Magnesium Dataset
am40_5p0_1698cQ2R1.png,107,114,0,Magnesium Dataset
am40_5p0_1698cQ2R2.png,107,125,0,Magnesium Dataset
am40_5p0_1698cQ2R3.png,107,124,0,Magnesium Dataset
am40_5p0_1698cQ2R4.png,107,110,0,Magnesium Dataset
am40_2p5_1738cQ2R1.png,107,100,0,Magnesium Dataset
am40_2p5_1738cQ2R2.png,107,120,0,Magnesium Dataset
am40_2p5_1738cQ2R3.png,107,102,0,Magnesium Dataset
am40_2p5_1738cQ2R4.png,107,115,0,Magnesium Dataset
am40_2p5_1767cQ1R1.png,107,94,0,Magnesium Dataset
am40_2p5_1767cQ1R2.png,107,102,0,Magnesium Dataset
am40_2p5_1767cQ1R3.png,107,96,0,Magnesium Dataset
am40_2p5_1767cQ1R4.png,107,95,0,Magnesium Dataset
am40_5p0_1696cQ3R1.png,107,99,0,Magnesium Dataset
am40_5p0_1696cQ3R2.png,107,96,0,Magnesium Dataset
am40_5p0_1696cQ3R3.png,107,115,0,Magnesium Dataset
am40_5p0_1696cQ3R4.png,107,109,0,Magnesium Dataset
am40_2p5_1760cQ4R1.png,107,107,0,Magnesium Dataset
am40_2p5_1760cQ4R2.png,107,122,0,Magnesium Dataset
am40_2p5_1760cQ4R3.png,107,110,0,Magnesium Dataset
am40_2p5_1760cQ4R4.png,107,117,0,Magnesium Dataset
am40_2p5_1765cQ4R1.png,107,112,0,Magnesium Dataset
am40_2p5_1765cQ4R2.png,107,104,0,Magnesium Dataset
am40_2p5_1765cQ4R3.png,107,109,0,Magnesium Dataset
am40_2p5_1765cQ4R4.png,107,105,0,Magnesium Dataset
am40_2p5_1764cQ4R1.png,107,128,0,Magnesium Dataset
am40_2p5_1764cQ4R2.png,107,116,0,Magnesium Dataset
am40_2p5_1764cQ4R3.png,107,119,0,Magnesium Dataset
am40_2p5_1764cQ4R4.png,107,121,0,Magnesium Dataset
am40_2p5_1749cQ4R1.png,107,121,0,Magnesium Dataset
am40_2p5_1749cQ4R2.png,107,103,0,Magnesium Dataset
am40_2p5_1749cQ4R3.png,107,113,0,Magnesium Dataset
am40_2p5_1749cQ4R4.png,107,108,0,Magnesium Dataset
