,Source,Folder,Image,Name,Tensile Strength (Yield),Scale Length (px),Scale,Estimate,Note,Prop Source
0,Magnesium Dataset,final_images/,am50_5p0_1771cQ1R1.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
1,Magnesium Dataset,final_images/,am50_5p0_1771cQ1R2.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
2,Magnesium Dataset,final_images/,am50_5p0_1771cQ1R3.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
3,Magnesium Dataset,final_images/,am50_5p0_1771cQ1R4.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
4,Magnesium Dataset,final_images/,am50_5p0_1771cQ2R1.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
5,Magnesium Dataset,final_images/,am50_5p0_1771cQ2R2.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
6,Magnesium Dataset,final_images/,am50_5p0_1771cQ2R3.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
7,Magnesium Dataset,final_images/,am50_5p0_1771cQ2R4.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
8,Magnesium Dataset,final_images/,am50_5p0_1771cQ3R1.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
9,Magnesium Dataset,final_images/,am50_5p0_1771cQ3R2.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
10,Magnesium Dataset,final_images/,am50_5p0_1771cQ3R3.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
11,Magnesium Dataset,final_images/,am50_5p0_1771cQ3R4.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
12,Magnesium Dataset,final_images/,am50_5p0_1771cQ4R1.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
13,Magnesium Dataset,final_images/,am50_5p0_1771cQ4R2.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
14,Magnesium Dataset,final_images/,am50_5p0_1771cQ4R3.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
15,Magnesium Dataset,final_images/,am50_5p0_1771cQ4R4.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
16,Magnesium Dataset,final_images/,am50_5p0_1772cQ1R1.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
17,Magnesium Dataset,final_images/,am50_5p0_1772cQ1R2.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
18,Magnesium Dataset,final_images/,am50_5p0_1772cQ1R3.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
19,Magnesium Dataset,final_images/,am50_5p0_1772cQ1R4.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
20,Magnesium Dataset,final_images/,am50_5p0_1772cQ2R1.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
21,Magnesium Dataset,final_images/,am50_5p0_1772cQ2R2.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
22,Magnesium Dataset,final_images/,am50_5p0_1772cQ2R3.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
23,Magnesium Dataset,final_images/,am50_5p0_1772cQ2R4.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
24,Magnesium Dataset,final_images/,am50_5p0_1772cQ3R1.png,AM50,109,89.8630136986301,10,,,"Erin M. Deda, The Effect of Aluminum Content and Processing on the Tensile Behavior of High Pressure Die Cast Mg Alloys, 2017"
