Source,Image Name,Expected,Average Prediction
ASM Dataset,CA15 Tempered at 1200F-1,690.0,569.9375
ASM Dataset,D3 QT-1,1550.0,1398.9375
Magnesium Dataset,am60_5p0_edge_1629,120.0,119.625
ASM Dataset,R56210 Hrolled-1,760.0,853.6666666666666
ASM Dataset,C85700-2,110.0,359.8
ASM Dataset,301 Sixteenth Hard-1,350.0,442.03125
ASM Dataset,3003 Annealed-1,41.0,191.25
Magnesium Dataset,am60_5p0_1653,120.0,113.5
ASM Dataset,L-605 ColdW-1,1600.0,919.95
ASM Dataset,718 HTA-2,1000.0,688.6875
ASM Dataset,7075 T7352-2,386.0,253.0
Magnesium Dataset,am50_2p5_1827,109.0,115.6
ASM Dataset,C95400 Tempered-1,310.0,457.25
Magnesium Dataset,am70_2p5_f_1595,127.0,123.75
ASM Dataset,W1 Annealed-2,330.0,394.7083333333333
ASM Dataset,302 Annealed-1,275.0,279.3125
Magnesium Dataset,am60_2p5_1686,120.0,112.61111111111111
ASM Dataset,C95500 as Cast-2,320.0,388.3333333333333
Magnesium Dataset,am50_2p5_1819,109.0,112.85714285714286
ASM Dataset,C61300 M20-1,240.0,522.375
ASM Dataset,R54810 HT-1,1070.0,917.25
Magnesium Dataset,am40_5p0_1693,107.0,109.3125
ASM Dataset,4140 HTQT620-1,889.0,773.125
Magnesium Dataset,am40_2p5_1757,107.0,109.45
Magnesium Dataset,am60_2p5_1684,120.0,121.41666666666667
Magnesium Dataset,am50_5p0_1792,109.0,111.125
Magnesium Dataset,am60_2p5_1677,120.0,119.60714285714286
Magnesium Dataset,am40_2p5_1748,107.0,111.6875
Magnesium Dataset,am70_5p0_f_e_1574,127.0,119.5625
Magnesium Dataset,am40_2p5_1724,107.0,106.625
ASM Dataset,6061 T651-1,276.0,292.0625
Magnesium Dataset,am40_2p5_1746,107.0,116.75
ASM Dataset,430 Annealed-2,260.0,293.9642857142857
Magnesium Dataset,am40_2p5_1745,107.0,115.71428571428571
Magnesium Dataset,am60_5p0_1654,120.0,116.625
ASM Dataset,C61800-2,310.0,453.7916666666667
ASM Dataset,316 Annealed-1,230.0,210.25
ASM Dataset,R54620 HT-1,895.0,951.0
ASM Dataset,2618 T4-1,450.0,256.5
ASM Dataset,AZ92A T6-3,140.0,217.16666666666666
Magnesium Dataset,am50_2p5_1828,109.0,111.6875
ASM Dataset,C11000 M20-2,77.0,174.8
Magnesium Dataset,am50_2p5_1803,109.0,103.25
ASM Dataset,8740 Tempered-1,1060.0,882.0
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-1000x,896.0,931.0357142857143
ASM Dataset,201 Stainless Steel Annealed-1,301.0,456.5
Magnesium Dataset,am60_5p0_edge_1627,120.0,110.0
ASM Dataset,A356-0-1,83.0,77.625
Magnesium Dataset,am60_2p5_1680,120.0,105.41666666666667
Magnesium Dataset,am60_2p5_1672,120.0,119.5
ASM Dataset,17-7 PH CH900-1,1793.0,1266.125
ASM Dataset,201 Stainless Steel Annealed-2,301.0,227.82142857142858
Magnesium Dataset,am50_2p5_1801,109.0,101.58333333333333
ASM Dataset,C18100 CWA-2,455.0,355.75
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face2-500x-E,896.0,895.0
ASM Dataset,356-0-6,100.0,292.75
Magnesium Dataset,am40_2p5_1729,107.0,108.125
ASM Dataset,1050 QT480-1,580.0,703.55
ASM Dataset,520-0-T4-2,152.0,281.25
ASM Dataset,2219 T6-1,250.0,295.05
ASM Dataset,C86300-2,460.0,432.75
ASM Dataset,N07750 HTA-2,655.0,682.0
ASM Dataset,C85200-3,95.0,181.75
Magnesium Dataset,am60_5p0_1652,120.0,113.20833333333333
Magnesium Dataset,am50_5p0_1799,109.0,106.25
Magnesium Dataset,am40_5p0_1721,107.0,101.3
ASM Dataset,C90300-2,125.0,139.125
ASM Dataset,R50400 A-1,340.0,372.25
Magnesium Dataset,am40_5p0_1698,107.0,100.75
ASM Dataset,C26000 A-2,140.0,138.5
ASM Dataset,4140 HTQT595-1,1025.0,825.75
Magnesium Dataset,am60_5p0_1641,120.0,108.5
ASM Dataset,2024 T3-2,290.0,264.60714285714283
ASM Dataset,AZ92A T6-1,140.0,218.45
ASM Dataset,R58010 ST-1,830.0,495.375
Magnesium Dataset,am60_5p0_1648,120.0,116.375
ASM Dataset,C90300-4,125.0,135.4375
ASM Dataset,R54520 A-1,840.0,622.875
Magnesium Dataset,am70_2p5_f_1613,127.0,123.15
ASM Dataset,316L Annealed-2,190.0,179.95
Magnesium Dataset,am60_5p0_edge_1632,120.0,114.9375
ASM Dataset,CA6NM Tempered-3,690.0,613.9166666666666
ASM Dataset,ASTM A572 Grade 65-1,510.0,505.4375
ASM Dataset,2618 T4-3,450.0,639.0833333333334
ASM Dataset,431 Tempered-1,800.0,967.4166666666666
ASM Dataset,ASTM A537 Grade A Normalized-3,330.0,366.125
ASM Dataset,Elgiloy A-1,510.0,589.0
ASM Dataset,B443-0-1,41.4,119.0
ASM Dataset,Class 30 As Cast-5,130.0,456.25
ASM Dataset,2014-T4-2,290.0,311.6666666666667
ASM Dataset,C97800-1,170.0,179.75
Magnesium Dataset,am70_2p5_f_1602,127.0,131.65
ASM Dataset,N07001 HTA-5,897.0,425.0
ASM Dataset,R30075 HIP-1,840.0,877.125
ASM Dataset,G3000 As Cast-2,150.0,196.15
Magnesium Dataset,am50_2p5_1829,109.0,105.25
Magnesium Dataset,am40_2p5_1752,107.0,112.7
ASM Dataset,4140 Normalized-1,635.0,403.8
ASM Dataset,EZ33A T5-1,100.0,162.75
ASM Dataset,15-5 PH STA-1,1069.0,908.75
Magnesium Dataset,am50_5p0_1789,109.0,110.0
Magnesium Dataset,am70_5p0_f_e_1583,127.0,120.16666666666667
ASM Dataset,R56400 A2-1,900.0,796.625
ASM Dataset,C97600-2,140.0,164.7
Magnesium Dataset,am50_2p5_1825,109.0,107.25
ASM Dataset,AZ63A T6-1,120.0,212.16666666666666
Magnesium Dataset,am40_5p0_1694,107.0,114.125
ASM Dataset,A286 STA-1,759.0,504.375
Magnesium Dataset,am60_2p5_1675,120.0,115.4375
ASM Dataset,C11000 A-2,69.0,127.875
ASM Dataset,308-0-1,110.0,146.8125
ASM Dataset,7075 Annealed-2,145.0,319.05
ASM Dataset,MetalTek C86300-3,415.0,300.85
Magnesium Dataset,am60_2p5_1690,120.0,111.125
ASM Dataset,C61800-1,310.0,816.25
Magnesium Dataset,am50_2p5_1812,109.0,114.375
ASM Dataset,17-4 PH HT-1,985.0,918.625
Magnesium Dataset,am70_2p5_f_1600,127.0,127.17857142857143
Magnesium Dataset,am50_2p5_1821,109.0,111.0
Magnesium Dataset,am60_2p5_1659,120.0,129.0
Magnesium Dataset,am50_2p5_1822,109.0,115.0
Magnesium Dataset,am70_5p0_f_e_1588,127.0,118.08333333333333
ASM Dataset,355-0-T6-1,185.0,167.4
Magnesium Dataset,am70_2p5_f_1605,127.0,131.1875
Magnesium Dataset,am60_5p0_1638,120.0,107.8125
Magnesium Dataset,am70_5p0_f_e_1582,127.0,134.0
ASM Dataset,C11000 M20-1,77.0,126.25
ASM Dataset,R56210 A-1,760.0,622.5833333333334
ASM Dataset,222-0-1,140.0,181.6875
ASM Dataset,HM21A T8-1,170.0,478.5833333333333
ASM Dataset,CN-7M As Cast-2,275.0,322.0625
Magnesium Dataset,am50_5p0_1772,109.0,107.75
ASM Dataset,C93700-2,115.0,117.8
ASM Dataset,C95400 as Cast-1,240.0,234.1875
ASM Dataset,7050 T73652-3,455.0,449.5
ASM Dataset,ASTM A517 Grade B QT-2,655.0,786.8333333333334
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-1000x,896.0,910.0
Magnesium Dataset,am50_2p5_1830,109.0,107.0
Magnesium Dataset,am70_5p0_f_1557,127.0,119.0
ASM Dataset,R58640 STA-1,1120.0,833.6
Magnesium Dataset,am40_2p5_1727,107.0,115.91666666666667
Magnesium Dataset,am40_2p5_1761,107.0,107.375
ASM Dataset,C93700-1,115.0,117.1875
Magnesium Dataset,am50_5p0_1787,109.0,108.15
ASM Dataset,ASTM A216 WCB Normalized-1,280.0,256.0
ASM Dataset,ASTM A562 A-1,205.0,336.0
ASM Dataset,ASTM A537 Grade A Normalized-4,330.0,283.625
Magnesium Dataset,am50_2p5_1823,109.0,111.375
ASM Dataset,Class 30 As Cast-4,130.0,168.16666666666666
Magnesium Dataset,am50_2p5_1805,109.0,112.1875
Magnesium Dataset,am40_2p5_1764,107.0,108.5
ASM Dataset,304 Annealed-1,230.0,200.70833333333334
Magnesium Dataset,am60_2p5_1683,120.0,113.9
ASM Dataset,2024-O-2,95.0,196.95833333333334
Magnesium Dataset,am50_2p5_1808,109.0,110.03125
Magnesium Dataset,am70_2p5_f_1611,127.0,136.08333333333334
ASM Dataset,R50700 A-3,590.0,588.5
ASM Dataset,ASTM A537 Grade B QT-2,415.0,538.3125
Magnesium Dataset,am50_5p0_1794,109.0,113.66666666666667
ASM Dataset,C83600-2,95.0,113.25
ASM Dataset,ASTM A216 WCB Normalized-2,280.0,257.0833333333333
Magnesium Dataset,am70_2p5_f_1617,127.0,121.95
ASM Dataset,R50700 A-1,590.0,551.9166666666666
ASM Dataset,Ti Grade 7 (CP) A-3,340.0,382.875
ASM Dataset,8740 Annealed-1,380.0,398.75
ASM Dataset,410 Tempered at 453c-1,920.0,985.75
ASM Dataset,C35000-2,90.0,238.6
ASM Dataset,440C Temper 2-1,1865.0,844.15
ASM Dataset,C85200-4,95.0,138.55
ASM Dataset,MP35N ColdW-1,1413.0,1185.5833333333333
ASM Dataset,AZ63A T4-1,85.0,119.5
Magnesium Dataset,am60_2p5_1661,120.0,119.625
ASM Dataset,2014-T6-3,483.0,431.8125
ASM Dataset,9310 Normalized-1,570.0,688.0833333333334
ASM Dataset,C63200 TQ50-1,350.0,429.7083333333333
Magnesium Dataset,am60_5p0_1639,120.0,117.89285714285714
ASM Dataset,5657 Annealed-1,40.0,105.25
ASM Dataset,356-0-5,100.0,160.125
ASM Dataset,C85200-1,95.0,399.5
Magnesium Dataset,am40_2p5_1736,107.0,114.625
ASM Dataset,R56400 Plate A-2,828.0,974.9375
ASM Dataset,C93700-4,115.0,157.92857142857142
ASM Dataset,CA6NM Tempered-2,690.0,631.1875
ASM Dataset,440A Tempered-1,1650.0,1436.1875
ASM Dataset,201-0T7-1,400.0,341.3333333333333
ASM Dataset,C63200 TQ50-2,350.0,178.25
Magnesium Dataset,am40_2p5_1753,107.0,115.45
ASM Dataset,CK-20 As Cast-1,195.0,322.6875
ASM Dataset,356-0-T51-1,110.0,125.75
Magnesium Dataset,am70_5p0_f_e_1564,127.0,151.4375
ASM Dataset,PH 13-8 Mo HTA-1,1379.0,724.5
ASM Dataset,N07001 HTA-2,897.0,512.1
Magnesium Dataset,am50_5p0_1775,109.0,106.83333333333333
ASM Dataset,R50700 A-4,590.0,449.4375
ASM Dataset,1050 QT595-1,543.0,684.5625
ASM Dataset,1117 Normalized-1,305.0,234.67857142857142
Magnesium Dataset,am40_5p0_1716,107.0,106.3
Magnesium Dataset,am60_2p5_1685,120.0,117.16666666666667
ASM Dataset,C12500 M20-1,75.0,279.75
Magnesium Dataset,am60_5p0_1642,120.0,116.08333333333333
ASM Dataset,R56320 A-1,550.0,382.375
ASM Dataset,C61800-3,310.0,340.4642857142857
ASM Dataset,520-0-T4-1,152.0,207.75
Magnesium Dataset,am50_2p5_1818,109.0,105.75
Magnesium Dataset,am40_2p5_1750,107.0,105.75
ASM Dataset,R56400 A-1,830.0,689.125
Magnesium Dataset,am40_2p5_1733,107.0,112.91666666666667
ASM Dataset,Ti Grade 7 (CP) A-1,340.0,250.75
ASM Dataset,C11000 M20-3,77.0,161.25
Magnesium Dataset,am70_5p0_f_1554,127.0,126.75
Magnesium Dataset,am60_5p0_edge_1630,120.0,113.53571428571429
ASM Dataset,301 Quarter Hard-1,590.0,960.625
ASM Dataset,N07713-1,690.0,369.9
Magnesium Dataset,am40_5p0_1697,107.0,111.0625
ASM Dataset,440B Tempered-1,1860.0,1528.1875
Magnesium Dataset,am40_2p5_1740,107.0,120.0625
ASM Dataset,C86300-7,460.0,441.7
ASM Dataset,R56400 Plate A-1,828.0,876.5833333333334
ASM Dataset,ASTM A216 WCB Normalized-3,280.0,240.25
Magnesium Dataset,am70_5p0_f_e_1562,127.0,114.6875
ASM Dataset,316 Annealed-3,230.0,245.625
ASM Dataset,ASTM A27 As Cast-1,230.0,172.375
ASM Dataset,Ti-10-2-3 Sample 3-1,1191.0,1121.375
Magnesium Dataset,am40_2p5_1722,107.0,106.0
Magnesium Dataset,am50_2p5_1814,109.0,113.65
Magnesium Dataset,am60_5p0_edge_1626,120.0,109.66666666666667
ASM Dataset,1015 Normalized-1,325.0,302.25
Magnesium Dataset,am60_2p5_1670,120.0,110.875
ASM Dataset,319-0-1,96.5,392.5
ASM Dataset,242-0-1,120.0,138.25
ASM Dataset,ASTM A216 WCA Annealed-1,230.0,208.04166666666666
Magnesium Dataset,am70_2p5_f_1612,127.0,120.5
ASM Dataset,ZK60A T5-1,230.0,227.41666666666666
ASM Dataset,4130 A Furnace Cooled-1,460.0,503.4166666666667
Ti-6Al-2Sn-4Zr-2Mo-0.1Si Dataset,Billet_Face1-500x-C,896.0,900.1666666666666
ASM Dataset,R54620-6,910.0,755.0
ASM Dataset,409 Annealed-1,200.0,205.25
Magnesium Dataset,am50_5p0_1769,109.0,113.0
ASM Dataset,17-7 PH Annealed-1,430.0,398.5
ASM Dataset,356-0-2,100.0,162.625
